# YuEEG 日志 - 2025-08-24 19:18:26
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2025-08-24 19:18:27.194,0.0,46.875,5.859,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:18:27.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:18:27.205,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.207,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.243,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.249,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.253,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.255,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.256,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.257,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.258,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.261,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.262,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.264,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.265,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.266,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.267,187.5,187.5,-2.93,5.859,-5.859,-5.859,-5.859,-5.859
2025-08-24 19:18:27.269,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.270,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.272,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.273,187.5,187.5,187.5,187.5,-93.75,187.5,187.5,187.5
2025-08-24 19:18:27.275,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.277,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.278,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.280,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.282,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.283,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.285,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.286,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.288,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.289,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.291,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.304,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.306,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.309,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.315,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.317,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.318,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.319,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.321,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.322,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.324,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.327,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.330,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.332,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.334,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.335,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.338,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.341,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.343,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.346,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.349,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.351,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.354,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.357,187.5,187.5,187.5,187.5,187.137,0.732,-0.732,-0.732
2025-08-24 19:18:27.360,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.363,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.365,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.368,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.371,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.373,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.376,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.379,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:18:27.382,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
