# YuEEG 日志 - 2025-08-24 19:07:01
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# 719,0.000,0.046
2025-08-24 19:07:01.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:07:01.590,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.592,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.624,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.635,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.639,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.640,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.641,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.643,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.644,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.645,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.647,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.648,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.650,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.651,187.5,187.5,187.5,-0.0,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.652,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.654,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.655,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.657,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.657,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.659,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.660,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.662,187.5,187.5,187.5,187.5,-93.749,187.5,187.5,187.5
2025-08-24 19:07:01.664,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.665,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.666,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.668,187.5,187.5,187.5,187.5,187.134,0.732,-0.732,-0.732
2025-08-24 19:07:01.669,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.670,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.673,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.675,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.678,187.5,187.5,187.5,187.5,187.5,187.5,-0.0,187.5
2025-08-24 19:07:01.681,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.684,187.5,187.5,187.5,187.499,0.003,-0.003,-0.003,-0.003
2025-08-24 19:07:01.686,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.689,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:07:01.696,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
