# YuEEG 日志 - 2025-08-24 20:08:49
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2025-08-24 20:08:49.666,0.0,0.0,0.0,9.2e-05,0.011719,4.6e-05,0.0,0.023439
# 收到:1
2025-08-24 20:08:49.769,0.011719,0.0,0.0,0.0,0.0,0.0,0.0,0.023439
2025-08-24 20:08:49.781,0.091758,0.090242,0.113195,0.07625,0.046976,0.1875,0.03948,0.174835
2025-08-24 20:08:49.790,0.056673,0.050151,0.062933,0.055266,0.033804,0.150906,0.035248,0.155993
2025-08-24 20:08:49.792,0.050584,0.049747,0.062415,0.05477,0.033791,0.150919,0.035265,0.156005
2025-08-24 20:08:49.796,0.050584,0.049758,0.062439,0.054788,0.033803,0.150955,0.035312,0.156049
2025-08-24 20:08:49.800,0.050649,0.049814,0.062507,0.0549,0.033898,0.150991,0.035377,0.156121
2025-08-24 20:08:49.806,0.050691,0.049861,0.062577,0.054917,0.033944,0.151024,0.035398,0.156143
2025-08-24 20:08:49.812,0.050703,0.049873,0.062573,0.054877,0.033927,0.151037,0.035416,0.156153
2025-08-24 20:08:49.816,0.050722,0.049899,0.062601,0.054947,0.08084,0.151067,0.035477,0.156223
2025-08-24 20:08:49.821,0.050771,0.049958,0.062701,0.05502,0.034059,0.151118,0.035884,0.15628
2025-08-24 20:08:49.827,0.050823,0.049986,0.062742,0.055031,0.03408,0.15114,0.035544,0.156288
2025-08-24 20:08:49.832,0.050823,0.05,0.062732,0.055002,0.03406,0.151149,0.035574,0.156316
2025-08-24 20:08:49.838,0.050844,0.050041,0.062791,0.055068,0.034135,0.151198,0.035619,0.156393
2025-08-24 20:08:49.843,0.050918,0.050083,0.062883,0.055157,0.034195,0.151241,0.035672,0.156425
2025-08-24 20:08:49.853,0.050949,0.050118,0.062901,0.055132,0.034208,0.151252,0.035689,0.156435
2025-08-24 20:08:49.854,0.050944,0.050132,0.062897,0.055123,0.03421,0.151274,0.035761,0.156485
2025-08-24 20:08:49.859,0.050989,0.050165,0.062985,0.055228,0.03427,0.151327,0.035781,0.156537
2025-08-24 20:08:49.866,0.051057,0.050222,0.063041,0.149029,0.034345,0.151353,0.035822,0.156577
2025-08-24 20:08:49.870,0.051071,0.050245,0.063054,0.055238,0.034334,0.151367,0.03583,0.156588
2025-08-24 20:08:49.880,0.051072,0.050255,0.063076,0.05527,0.034372,0.151404,0.035877,0.156658
2025-08-24 20:08:49.884,0.051138,0.050311,0.063176,0.055382,0.034441,0.151454,0.03594,0.156701
2025-08-24 20:08:49.886,0.051189,0.050358,0.063212,0.055393,0.034486,0.151473,0.035967,0.156722
2025-08-24 20:08:49.892,0.051191,0.050372,0.063206,0.055358,0.034467,0.151486,0.03598,0.15675
2025-08-24 20:08:49.897,0.05121,0.050395,0.063265,0.055429,0.034507,0.151535,0.036042,0.156802
2025-08-24 20:08:49.902,0.051283,0.050454,0.063333,0.055518,0.034601,0.151567,0.036095,0.156858
2025-08-24 20:08:49.909,0.051311,0.050489,0.063374,0.055511,0.034613,0.151587,0.036107,0.156867
2025-08-24 20:08:49.918,0.05131,0.050495,0.06337,0.055485,0.034602,0.15161,0.036137,0.156894
2025-08-24 20:08:49.920,0.051354,0.050536,0.063421,0.05559,0.034676,0.151664,0.036204,0.15697
2025-08-24 20:08:49.924,0.051422,0.050593,0.063513,0.05564,0.03475,0.151688,0.036243,0.157009
2025-08-24 20:08:49.929,0.051436,0.050615,0.063525,0.055611,0.034743,0.151701,0.036251,0.157019
2025-08-24 20:08:49.935,0.051437,0.050626,0.063548,0.05563,0.034749,0.151738,0.036298,0.157061
2025-08-24 20:08:49.940,0.051502,0.05068,0.063615,0.055741,0.034843,0.151774,0.036362,0.157133
2025-08-24 20:08:49.945,0.051543,0.050728,0.063683,0.05576,0.034889,0.151807,0.036383,0.157153
2025-08-24 20:08:49.951,0.051555,0.050739,0.063677,0.055718,0.034872,0.151821,0.036401,0.157163
2025-08-24 20:08:49.958,0.051574,0.062483,0.063705,0.055751,0.03491,0.15185,0.036438,0.157232
2025-08-24 20:08:49.962,0.051624,0.050824,0.063804,0.055864,0.035003,0.151901,0.036502,0.157289
2025-08-24 20:08:49.969,0.051674,0.050851,0.157594,0.056236,0.035023,0.151922,0.036527,0.157298
2025-08-24 20:08:49.975,0.051674,0.050864,0.06384,0.055844,0.035005,0.151945,0.036558,0.157325
2025-08-24 20:08:49.980,0.051719,0.050906,0.063928,0.05595,0.03508,0.151999,0.036625,0.157401
2025-08-24 20:08:49.984,0.051786,0.050963,0.063983,0.055999,0.035154,0.152023,0.036663,0.158172
2025-08-24 20:08:49.990,0.0518,0.050985,0.063996,0.055972,0.035141,0.152037,0.036672,0.15745
2025-08-24 20:08:49.996,0.051801,0.051193,0.064018,0.05599,0.03518,0.152073,0.036719,0.157492
2025-08-24 20:08:50.001,0.051867,0.051051,0.064085,0.056101,0.035247,0.15211,0.036782,0.157563
2025-08-24 20:08:50.006,0.051908,0.051098,0.064153,0.056119,0.035293,0.163862,0.036804,-0.029916
2025-08-24 20:08:50.012,0.05192,0.051112,0.064147,0.056077,0.035275,0.152157,0.036821,0.157612
2025-08-24 20:08:50.017,0.051939,0.051134,0.064205,0.056148,0.129064,0.152204,0.036882,0.157663
2025-08-24 20:08:50.024,0.052011,0.051193,0.064273,0.056236,0.129157,0.152235,0.036935,0.157719
2025-08-24 20:08:50.032,0.052039,0.051229,0.064314,0.056212,0.035422,-0.035242,0.036964,0.157729
2025-08-24 20:08:50.034,0.052039,0.051243,0.06431,0.056204,0.035423,0.152281,0.039908,0.157779
