# YuEEG 日志 - 2025-08-24 19:13:51
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2025-08-24 19:13:51.560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:13:51.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 19:13:51.599,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.610,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.613,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.615,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.616,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.618,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.619,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.620,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.622,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.623,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.625,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.626,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.628,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.629,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.631,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.632,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.633,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.635,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.636,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.638,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.639,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.641,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.642,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.644,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.646,187.5,187.5,-0.0,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.646,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.648,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.650,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.652,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.659,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.668,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.669,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.671,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.674,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.676,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.677,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.678,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.680,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.681,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.684,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.691,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.697,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.699,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.700,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.701,187.5,187.134,0.732,-0.732,-0.732,-0.732,-0.732,-0.732
2025-08-24 19:13:51.703,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.706,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.708,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.710,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.713,187.5,187.5,187.5,187.5,187.5,-0.0,187.5,187.5
2025-08-24 19:13:51.716,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.718,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.721,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.724,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.727,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.730,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.733,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.736,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.738,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.744,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.753,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.754,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.758,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.760,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.760,187.5,187.5,187.5,187.5,187.5,187.5,187.5,-0.0
2025-08-24 19:13:51.761,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.764,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.765,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.768,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.770,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.772,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.775,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.778,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.781,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.783,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.786,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.789,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.791,187.5,187.5,-0.0,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.795,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.798,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.801,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.803,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.806,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.811,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.817,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.819,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.820,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.823,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.824,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.826,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.829,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.832,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.834,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.837,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.840,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.843,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.846,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.848,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.851,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.854,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.857,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.861,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.866,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.870,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.873,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.875,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.875,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.878,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.880,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 19:13:51.884,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
