# YuEEG 日志 - 2025-08-24 18:57:42
# 时间戳,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
# 000,2.930,0.000,0.000,0.000,0.000,0.000
2025-08-24 18:57:43.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24 18:57:43.243,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.281,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.289,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.292,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.294,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.295,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.296,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.297,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.299,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.300,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.302,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.303,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.305,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.306,187.5,187.5,187.5,187.5,187.5,187.5,187.5,-93.75
2025-08-24 18:57:43.307,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.308,187.5,187.5,187.5,187.5,187.5,187.5,187.5,-0.001
2025-08-24 18:57:43.310,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.311,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.312,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.314,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.315,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.317,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.319,-0.0,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.320,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.322,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.323,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.324,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.326,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.327,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.328,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.335,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.342,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.343,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.344,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.345,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.347,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.348,187.5,187.5,187.5,187.5,187.5,187.5,187.5,-0.0
2025-08-24 18:57:43.351,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.354,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.358,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.365,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.367,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.368,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.369,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
2025-08-24 18:57:43.371,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5
